3400 10
1 2 3 4 5 6 7 8 9 10
71 72 73 74 75 76 77 78 79 80
71 -72 -73 -74 -75 -76 -77 -78 -79 -80
-71 72 -73 -74 -75 -76 -77 -78 -79 -80
-71 -72 73 -74 -75 -76 -77 -78 -79 -80
-71 -72 -73 74 -75 -76 -77 -78 -79 -80
-71 -72 -73 -74 75 -76 -77 -78 -79 -80
-71 -72 -73 -74 -75 76 -77 -78 -79 -80
-71 -72 -73 -74 -75 -76 77 -78 -79 -80
-71 -72 -73 -74 -75 -76 -77 78 -79 -80
-71 -72 -73 -74 -75 -76 -77 -78 79 -80
-71 -72 -73 -74 -75 -76 -77 -78 -79 80
81 82 83 84 85 86 87 88 89 90
81 -82 -83 -84 -85 -86 -87 -88 -89 -90
-81 82 -83 -84 -85 -86 -87 -88 -89 -90
-81 -82 83 -84 -85 -86 -87 -88 -89 -90
-81 -82 -83 84 -85 -86 -87 -88 -89 -90
-81 -82 -83 -84 85 -86 -87 -88 -89 -90
-81 -82 -83 -84 -85 86 -87 -88 -89 -90
-81 -82 -83 -84 -85 -86 87 -88 -89 -90
-81 -82 -83 -84 -85 -86 -87 88 -89 -90
-81 -82 -83 -84 -85 -86 -87 -88 89 -90
-81 -82 -83 -84 -85 -86 -87 -88 -89 90
91 92 93 94 95 96 97 98 99 100
91 -92 -93 -94 -95 -96 -97 -98 -99 -100
-91 92 -93 -94 -95 -96 -97 -98 -99 -100
-91 -92 93 -94 -95 -96 -97 -98 -99 -100
-91 -92 -93 94 -95 -96 -97 -98 -99 -100
-91 -92 -93 -94 95 -96 -97 -98 -99 -100
-91 -92 -93 -94 -95 96 -97 -98 -99 -100
-91 -92 -93 -94 -95 -96 97 -98 -99 -100
-91 -92 -93 -94 -95 -96 -97 98 -99 -100
-91 -92 -93 -94 -95 -96 -97 -98 99 -100
-91 -92 -93 -94 -95 -96 -97 -98 -99 100
1 11 21 31 41 51 61 71 81 91
1 -11 -21 -31 -41 -51 -61 -71 -81 -91
-1 11 -21 -31 -41 -51 -61 -71 -81 -91
-1 -11 21 -31 -41 -51 -61 -71 -81 -91
-1 -11 -21 31 -41 -51 -61 -71 -81 -91
-1 -11 -21 -31 41 -51 -61 -71 -81 -91
-1 -11 -21 -31 -41 51 -61 -71 -81 -91
-1 -11 -21 -31 -41 -51 61 -71 -81 -91
-1 -11 -21 -31 -41 -51 -61 71 -81 -91
-1 -11 -21 -31 -41 -51 -61 -71 81 -91
-1 -11 -21 -31 -41 -51 -61 -71 -81 91
2 12 22 32 42 52 62 72 82 92
2 -12 -22 -32 -42 -52 -62 -72 -82 -92
-2 12 -22 -32 -42 -52 -62 -72 -82 -92
-2 -12 22 -32 -42 -52 -62 -72 -82 -92
-2 -12 -22 32 -42 -52 -62 -72 -82 -92
-2 -12 -22 -32 42 -52 -62 -72 -82 -92
-2 -12 -22 -32 -42 52 -62 -72 -82 -92
-2 -12 -22 -32 -42 -52 62 -72 -82 -92
-2 -12 -22 -32 -42 -52 -62 72 -82 -92
-2 -12 -22 -32 -42 -52 -62 -72 82 -92
-2 -12 -22 -32 -42 -52 -62 -72 -82 92
3 13 23 33 43 53 63 73 83 93
3 -13 -23 -33 -43 -53 -63 -73 -83 -93
-3 13 -23 -33 -43 -53 -63 -73 -83 -93
-3 -13 23 -33 -43 -53 -63 -73 -83 -93
-3 -13 -23 33 -43 -53 -63 -73 -83 -93
-3 -13 -23 -33 43 -53 -63 -73 -83 -93
-3 -13 -23 -33 -43 53 -63 -73 -83 -93
-3 -13 -23 -33 -43 -53 63 -73 -83 -93
-3 -13 -23 -33 -43 -53 -63 73 -83 -93
-3 -13 -23 -33 -43 -53 -63 -73 83 -93
-3 -13 -23 -33 -43 -53 -63 -73 -83 93
4 14 24 34 44 54 64 74 84 94
4 -14 -24 -34 -44 -54 -64 -74 -84 -94
-4 14 -24 -34 -44 -54 -64 -74 -84 -94
-4 -14 24 -34 -44 -54 -64 -74 -84 -94
-4 -14 -24 34 -44 -54 -64 -74 -84 -94
-4 -14 -24 -34 44 -54 -64 -74 -84 -94
-4 -14 -24 -34 -44 54 -64 -74 -84 -94
-4 -14 -24 -34 -44 -54 64 -74 -84 -94
-4 -14 -24 -34 -44 -54 -64 74 -84 -94
-4 -14 -24 -34 -44 -54 -64 -74 84 -94
-4 -14 -24 -34 -44 -54 -64 -74 -84 94
5 15 25 35 45 55 65 75 85 95
5 -15 -25 -35 -45 -55 -65 -75 -85 -95
-5 15 -25 -35 -45 -55 -65 -75 -85 -95
-5 -15 25 -35 -45 -55 -65 -75 -85 -95
-5 -15 -25 35 -45 -55 -65 -75 -85 -95
-5 -15 -25 -35 45 -55 -65 -75 -85 -95
-5 -15 -25 -35 -45 55 -65 -75 -85 -95
-5 -15 -25 -35 -45 -55 65 -75 -85 -95
-5 -15 -25 -35 -45 -55 -65 75 -85 -95
-5 -15 -25 -35 -45 -55 -65 -75 85 -95
-5 -15 -25 -35 -45 -55 -65 -75 -85 95
6 16 26 36 46 56 66 76 86 96
6 -16 -26 -36 -46 -56 -66 -76 -86 -96
-6 16 -26 -36 -46 -56 -66 -76 -86 -96
-6 -16 26 -36 -46 -56 -66 -76 -86 -96
-6 -16 -26 36 -46 -56 -66 -76 -86 -96
-6 -16 -26 -36 46 -56 -66 -76 -86 -96
-6 -16 -26 -36 -46 56 -66 -76 -86 -96
-6 -16 -26 -36 -46 -56 66 -76 -86 -96
-6 -16 -26 -36 -46 -56 -66 76 -86 -96
-6 -16 -26 -36 -46 -56 -66 -76 86 -96
-6 -16 -26 -36 -46 -56 -66 -76 -86 96
7 17 27 37 47 57 67 77 87 97
7 -17 -27 -37 -47 -57 -67 -77 -87 -97
-7 17 -27 -37 -47 -57 -67 -77 -87 -97
-7 -17 27 -37 -47 -57 -67 -77 -87 -97
-7 -17 -27 37 -47 -57 -67 -77 -87 -97
-7 -17 -27 -37 47 -57 -67 -77 -87 -97
-7 -17 -27 -37 -47 57 -67 -77 -87 -97
-7 -17 -27 -37 -47 -57 67 -77 -87 -97
-7 -17 -27 -37 -47 -57 -67 77 -87 -97
-7 -17 -27 -37 -47 -57 -67 -77 87 -97
-7 -17 -27 -37 -47 -57 -67 -77 -87 97
8 18 28 38 48 58 68 78 88 98
8 -18 -28 -38 -48 -58 -68 -78 -88 -98
-8 18 -28 -38 -48 -58 -68 -78 -88 -98
-8 -18 28 -38 -48 -58 -68 -78 -88 -98
-8 -18 -28 38 -48 -58 -68 -78 -88 -98
-8 -18 -28 -38 48 -58 -68 -78 -88 -98
-8 -18 -28 -38 -48 58 -68 -78 -88 -98
-8 -18 -28 -38 -48 -58 68 -78 -88 -98
-8 -18 -28 -38 -48 -58 -68 78 -88 -98
-8 -18 -28 -38 -48 -58 -68 -78 88 -98
-8 -18 -28 -38 -48 -58 -68 -78 -88 98
9 19 29 39 49 59 69 79 89 99
9 -19 -29 -39 -49 -59 -69 -79 -89 -99
-9 19 -29 -39 -49 -59 -69 -79 -89 -99
-9 -19 29 -39 -49 -59 -69 -79 -89 -99
-9 -19 -29 39 -49 -59 -69 -79 -89 -99
-9 -19 -29 -39 49 -59 -69 -79 -89 -99
-9 -19 -29 -39 -49 59 -69 -79 -89 -99
-9 -19 -29 -39 -49 -59 69 -79 -89 -99
-9 -19 -29 -39 -49 -59 -69 79 -89 -99
-9 -19 -29 -39 -49 -59 -69 -79 89 -99
-9 -19 -29 -39 -49 -59 -69 -79 -89 99
10 20 30 40 50 60 70 80 90 100
10 -20 -30 -40 -50 -60 -70 -80 -90 -100
-10 20 -30 -40 -50 -60 -70 -80 -90 -100
-10 -20 30 -40 -50 -60 -70 -80 -90 -100
-10 -20 -30 40 -50 -60 -70 -80 -90 -100
-10 -20 -30 -40 50 -60 -70 -80 -90 -100
-10 -20 -30 -40 -50 60 -70 -80 -90 -100
-10 -20 -30 -40 -50 -60 70 -80 -90 -100
-10 -20 -30 -40 -50 -60 -70 80 -90 -100
-10 -20 -30 -40 -50 -60 -70 -80 90 -100
-10 -20 -30 -40 -50 -60 -70 -80 -90 100
-1 -2
-1 -3
-1 -4
-1 -5
-1 -6
-1 -7
-1 -8
-1 -9
-1 -10
-2 -3
-2 -4
-2 -5
-2 -6
-2 -7
-2 -8
-2 -9
-2 -10
-3 -4
-3 -5
-3 -6
-3 -7
-3 -8
-3 -9
-3 -10
-4 -5
-4 -6
-4 -7
-4 -8
-4 -9
-4 -10
-5 -6
-5 -7
-5 -8
-5 -9
-5 -10
-6 -7
-6 -8
-6 -9
-6 -10
-7 -8
-7 -9
-7 -10
-8 -9
-8 -10
-9 -10
-11 -12
-11 -13
-11 -14
-11 -15
-11 -16
-11 -17
-11 -18
-11 -19
-11 -20
-12 -13
-12 -14
-12 -15
-12 -16
-12 -17
-12 -18
-12 -19
-12 -20
-13 -14
-13 -15
-13 -16
-13 -17
-13 -18
-13 -19
-13 -20
-14 -15
-14 -16
-14 -17
-14 -18
-14 -19
-14 -20
-15 -16
-15 -17
-15 -18
-15 -19
-15 -20
-16 -17
-16 -18
-16 -19
-16 -20
-17 -18
-17 -19
-17 -20
-18 -19
-18 -20
-19 -20
-21 -22
-21 -23
-21 -24
-21 -25
-21 -26
-21 -27
-21 -28
-21 -29
-21 -30
-22 -23
-22 -24
-22 -25
-22 -26
-22 -27
-22 -28
-22 -29
-22 -30
-23 -24
-23 -25
-23 -26
-23 -27
-23 -28
-23 -29
-23 -30
-24 -25
-24 -26
-24 -27
-24 -28
-24 -29
-24 -30
-25 -26
-25 -27
-25 -28
-25 -29
-25 -30
-26 -27
-26 -28
-26 -29
-26 -30
-27 -28
-27 -29
-27 -30
-28 -29
-28 -30
-29 -30
-31 -32
-31 -33
-31 -34
-31 -35
-31 -36
-31 -37
-31 -38
-31 -39
-31 -40
-32 -33
-32 -34
-32 -35
-32 -36
-32 -37
-32 -38
-32 -39
-32 -40
-33 -34
-33 -35
-33 -36
-33 -37
-33 -38
-33 -39
-33 -40
-34 -35
-34 -36
-34 -37
-34 -38
-34 -39
-34 -40
-35 -36
-35 -37
-35 -38
-35 -39
-35 -40
-36 -37
-36 -38
-36 -39
-36 -40
-37 -38
-37 -39
-37 -40
-38 -39
-38 -40
-39 -40
-41 -42
-41 -43
-41 -44
-41 -45
-41 -46
-41 -47
-41 -48
-41 -49
-41 -50
-42 -43
-42 -44
-42 -45
-42 -46
-42 -47
-42 -48
-42 -49
-42 -50
-43 -44
-43 -45
-43 -46
-43 -47
-43 -48
-43 -49
-43 -50
-44 -45
-44 -46
-44 -47
-44 -48
-44 -49
-44 -50
-45 -46
-45 -47
-45 -48
-45 -49
-45 -50
-46 -47
-46 -48
-46 -49
-46 -50
-47 -48
-47 -49
-47 -50
-48 -49
-48 -50
-49 -50
-51 -52
-51 -53
-51 -54
-51 -55
-51 -56
-51 -57
-51 -58
-51 -59
-51 -60
-52 -53
-52 -54
-52 -55
-52 -56
-52 -57
-52 -58
-52 -59
-52 -60
-53 -54
-53 -55
-53 -56
-53 -57
-53 -58
-53 -59
-53 -60
-54 -55
-54 -56
-54 -57
-54 -58
-54 -59
-54 -60
-55 -56
-55 -57
-55 -58
-55 -59
-55 -60
-56 -57
-56 -58
-56 -59
-56 -60
-57 -58
-57 -59
-57 -60
-58 -59
-58 -60
-59 -60
-61 -62
-61 -63
-61 -64
-61 -65
-61 -66
-61 -67
-61 -68
-61 -69
-61 -70
-62 -63
-62 -64
-62 -65
-62 -66
-62 -67
-62 -68
-62 -69
-62 -70
-63 -64
-63 -65
-63 -66
-63 -67
-63 -68
-63 -69
-63 -70
-64 -65
-64 -66
-64 -67
-64 -68
-64 -69
-64 -70
-65 -66
-65 -67
-65 -68
-65 -69
-65 -70
-66 -67
-66 -68
-66 -69
-66 -70
-67 -68
-67 -69
-67 -70
-68 -69
-68 -70
-69 -70
-71 -72
-71 -73
-71 -74
-71 -75
-71 -76
-71 -77
-71 -78
-71 -79
-71 -80
-72 -73
-72 -74
-72 -75
-72 -76
-72 -77
-72 -78
-72 -79
-72 -80
-73 -74
-73 -75
-73 -76
-73 -77
-73 -78
-73 -79
-73 -80
-74 -75
-74 -76
-74 -77
-74 -78
-74 -79
-74 -80
-75 -76
-75 -77
-75 -78
-75 -79
-75 -80
-76 -77
-76 -78
-76 -79
-76 -80
-77 -78
-77 -79
-77 -80
-78 -79
-78 -80
-79 -80
-81 -82
-81 -83
-81 -84
-81 -85
-81 -86
-81 -87
-81 -88
-81 -89
-81 -90
-82 -83
-82 -84
-82 -85
-82 -86
-82 -87
-82 -88
-82 -89
-82 -90
-83 -84
-83 -85
-83 -86
-83 -87
-83 -88
-83 -89
-83 -90
-84 -85
-84 -86
-84 -87
-84 -88
-84 -89
-84 -90
-85 -86
-85 -87
-85 -88
-85 -89
-85 -90
-86 -87
-86 -88
-86 -89
-86 -90
-87 -88
-87 -89
-87 -90
-88 -89
-88 -90
-89 -90
-91 -92
-91 -93
-91 -94
-91 -95
-91 -96
-91 -97
-91 -98
-91 -99
-91 -100
-92 -93
-92 -94
-92 -95
-92 -96
-92 -97
-92 -98
-92 -99
-92 -100
-93 -94
-93 -95
-93 -96
-93 -97
-93 -98
-93 -99
-93 -100
-94 -95
-94 -96
-94 -97
-94 -98
-94 -99
-94 -100
-95 -96
-95 -97
-95 -98
-95 -99
-95 -100
-96 -97
-96 -98
-96 -99
-96 -100
-97 -98
-97 -99
-97 -100
-98 -99
-98 -100
-99 -100
-1 -11
-1 -21
-1 -31
-1 -41
-1 -51
-1 -61
-1 -71
-1 -81
-1 -91
-11 -21
-11 -31
-11 -41
-11 -51
-11 -61
-11 -71
-11 -81
-11 -91
-21 -31
-21 -41
-21 -51
-21 -61
-21 -71
-21 -81
-21 -91
-31 -41
-31 -51
-31 -61
-31 -71
-31 -81
-31 -91
-41 -51
-41 -61
-41 -71
-41 -81
-41 -91
-51 -61
-51 -71
-51 -81
-51 -91
-61 -71
-61 -81
-61 -91
-71 -81
-71 -91
-81 -91
-2 -12
-2 -22
-2 -32
-2 -42
-2 -52
-2 -62
-2 -72
-2 -82
-2 -92
-12 -22
-12 -32
-12 -42
-12 -52
-12 -62
-12 -72
-12 -82
-12 -92
-22 -32
-22 -42
-22 -52
-22 -62
-22 -72
-22 -82
-22 -92
-32 -42
-32 -52
-32 -62
-32 -72
-32 -82
-32 -92
-42 -52
-42 -62
-42 -72
-42 -82
-42 -92
-52 -62
-52 -72
-52 -82
-52 -92
-62 -72
-62 -82
-62 -92
-72 -82
-72 -92
-82 -92
-3 -13
-3 -23
-3 -33
-3 -43
-3 -53
-3 -63
-3 -73
-3 -83
-3 -93
-13 -23
-13 -33
-13 -43
-13 -53
-13 -63
-13 -73
-13 -83
-13 -93
-23 -33
-23 -43
-23 -53
-23 -63
-23 -73
-23 -83
-23 -93
-33 -43
-33 -53
-33 -63
-33 -73
-33 -83
-33 -93
-43 -53
-43 -63
-43 -73
-43 -83
-43 -93
-53 -63
-53 -73
-53 -83
-53 -93
-63 -73
-63 -83
-63 -93
-73 -83
-73 -93
-83 -93
-4 -14
-4 -24
-4 -34
-4 -44
-4 -54
-4 -64
-4 -74
-4 -84
-4 -94
-14 -24
-14 -34
-14 -44
-14 -54
-14 -64
-14 -74
-14 -84
-14 -94
-24 -34
-24 -44
-24 -54
-24 -64
-24 -74
-24 -84
-24 -94
-34 -44
-34 -54
-34 -64
-34 -74
-34 -84
-34 -94
-44 -54
-44 -64
-44 -74
-44 -84
-44 -94
-54 -64
-54 -74
-54 -84
-54 -94
-64 -74
-64 -84
-64 -94
-74 -84
-74 -94
-84 -94
-5 -15
-5 -25
-5 -35
-5 -45
-5 -55
-5 -65
-5 -75
-5 -85
-5 -95
-15 -25
-15 -35
-15 -45
-15 -55
-15 -65
-15 -75
-15 -85
-15 -95
-25 -35
-25 -45
-25 -55
-25 -65
-25 -75
-25 -85
-25 -95
-35 -45
-35 -55
-35 -65
-35 -75
-35 -85
-35 -95
-45 -55
-45 -65
-45 -75
-45 -85
-45 -95
-55 -65
-55 -75
-55 -85
-55 -95
-65 -75
-65 -85
-65 -95
-75 -85
-75 -95
-85 -95
-6 -16
-6 -26
-6 -36
-6 -46
-6 -56
-6 -66
-6 -76
-6 -86
-6 -96
-16 -26
-16 -36
-16 -46
-16 -56
-16 -66
-16 -76
-16 -86
-16 -96
-26 -36
-26 -46
-26 -56
-26 -66
-26 -76
-26 -86
-26 -96
-36 -46
-36 -56
-36 -66
-36 -76
-36 -86
-36 -96
-46 -56
-46 -66
-46 -76
-46 -86
-46 -96
-56 -66
-56 -76
-56 -86
-56 -96
-66 -76
-66 -86
-66 -96
-76 -86
-76 -96
-86 -96
-7 -17
-7 -27
-7 -37
-7 -47
-7 -57
-7 -67
-7 -77
-7 -87
-7 -97
-17 -27
-17 -37
-17 -47
-17 -57
-17 -67
-17 -77
-17 -87
-17 -97
-27 -37
-27 -47
-27 -57
-27 -67
-27 -77
-27 -87
-27 -97
-37 -47
-37 -57
-37 -67
-37 -77
-37 -87
-37 -97
-47 -57
-47 -67
-47 -77
-47 -87
-47 -97
-57 -67
-57 -77
-57 -87
-57 -97
-67 -77
-67 -87
-67 -97
-77 -87
-77 -97
-87 -97
-8 -18
-8 -28
-8 -38
-8 -48
-8 -58
-8 -68
-8 -78
-8 -88
-8 -98
-18 -28
-18 -38
-18 -48
-18 -58
-18 -68
-18 -78
-18 -88
-18 -98
-28 -38
-28 -48
-28 -58
-28 -68
-28 -78
-28 -88
-28 -98
-38 -48
-38 -58
-38 -68
-38 -78
-38 -88
-38 -98
-48 -58
-48 -68
-48 -78
-48 -88
-48 -98
-58 -68
-58 -78
-58 -88
-58 -98
-68 -78
-68 -88
-68 -98
-78 -88
-78 -98
-88 -98
-9 -19
-9 -29
-9 -39
-9 -49
-9 -59
-9 -69
-9 -79
-9 -89
-9 -99
-19 -29
-19 -39
-19 -49
-19 -59
-19 -69
-19 -79
-19 -89
-19 -99
-29 -39
-29 -49
-29 -59
-29 -69
-29 -79
-29 -89
-29 -99
-39 -49
-39 -59
-39 -69
-39 -79
-39 -89
-39 -99
-49 -59
-49 -69
-49 -79
-49 -89
-49 -99
-59 -69
-59 -79
-59 -89
-59 -99
-69 -79
-69 -89
-69 -99
-79 -89
-79 -99
-89 -99
-10 -20
-10 -30
-10 -40
-10 -50
-10 -60
-10 -70
-10 -80
-10 -90
-10 -100
-20 -30
-20 -40
-20 -50
-20 -60
-20 -70
-20 -80
-20 -90
-20 -100
-30 -40
-30 -50
-30 -60
-30 -70
-30 -80
-30 -90
-30 -100
-40 -50
-40 -60
-40 -70
-40 -80
-40 -90
-40 -100
-50 -60
-50 -70
-50 -80
-50 -90
-50 -100
-60 -70
-60 -80
-60 -90
-60 -100
-70 -80
-70 -90
-70 -100
-80 -90
-80 -100
-90 -100
-1 -12
-1 -23
-1 -34
-1 -45
-1 -56
-1 -67
-1 -78
-1 -89
-1 -100
-2 -11
-2 -13
-2 -24
-2 -35
-2 -46
-2 -57
-2 -68
-2 -79
-2 -90
-3 -12
-3 -14
-3 -21
-3 -25
-3 -36
-3 -47
-3 -58
-3 -69
-3 -80
-4 -13
-4 -15
-4 -22
-4 -26
-4 -31
-4 -37
-4 -48
-4 -59
-4 -70
-5 -14
-5 -16
-5 -23
-5 -27
-5 -32
-5 -38
-5 -41
-5 -49
-5 -60
-6 -15
-6 -17
-6 -24
-6 -28
-6 -33
-6 -39
-6 -42
-6 -50
-6 -51
-7 -16
-7 -18
-7 -25
-7 -29
-7 -34
-7 -40
-7 -43
-7 -52
-7 -61
-8 -17
-8 -19
-8 -26
-8 -30
-8 -35
-8 -44
-8 -53
-8 -62
-8 -71
-9 -18
-9 -20
-9 -27
-9 -36
-9 -45
-9 -54
-9 -63
-9 -72
-9 -81
-10 -19
-10 -28
-10 -37
-10 -46
-10 -55
-10 -64
-10 -73
-10 -82
-10 -91
-11 -2
-11 -22
-11 -33
-11 -44
-11 -55
-11 -66
-11 -77
-11 -88
-11 -99
-12 -1
-12 -3
-12 -21
-12 -23
-12 -34
-12 -45
-12 -56
-12 -67
-12 -78
-12 -89
-12 -100
-13 -2
-13 -4
-13 -22
-13 -24
-13 -31
-13 -35
-13 -46
-13 -57
-13 -68
-13 -79
-13 -90
-14 -3
-14 -5
-14 -23
-14 -25
-14 -32
-14 -36
-14 -41
-14 -47
-14 -58
-14 -69
-14 -80
-15 -4
-15 -6
-15 -24
-15 -26
-15 -33
-15 -37
-15 -42
-15 -48
-15 -51
-15 -59
-15 -70
-16 -5
-16 -7
-16 -25
-16 -27
-16 -34
-16 -38
-16 -43
-16 -49
-16 -52
-16 -60
-16 -61
-17 -6
-17 -8
-17 -26
-17 -28
-17 -35
-17 -39
-17 -44
-17 -50
-17 -53
-17 -62
-17 -71
-18 -7
-18 -9
-18 -27
-18 -29
-18 -36
-18 -40
-18 -45
-18 -54
-18 -63
-18 -72
-18 -81
-19 -8
-19 -10
-19 -28
-19 -30
-19 -37
-19 -46
-19 -55
-19 -64
-19 -73
-19 -82
-19 -91
-20 -9
-20 -29
-20 -38
-20 -47
-20 -56
-20 -65
-20 -74
-20 -83
-20 -92
-21 -3
-21 -12
-21 -32
-21 -43
-21 -54
-21 -65
-21 -76
-21 -87
-21 -98
-22 -4
-22 -11
-22 -13
-22 -31
-22 -33
-22 -44
-22 -55
-22 -66
-22 -77
-22 -88
-22 -99
-23 -1
-23 -5
-23 -12
-23 -14
-23 -32
-23 -34
-23 -41
-23 -45
-23 -56
-23 -67
-23 -78
-23 -89
-23 -100
-24 -2
-24 -6
-24 -13
-24 -15
-24 -33
-24 -35
-24 -42
-24 -46
-24 -51
-24 -57
-24 -68
-24 -79
-24 -90
-25 -3
-25 -7
-25 -14
-25 -16
-25 -34
-25 -36
-25 -43
-25 -47
-25 -52
-25 -58
-25 -61
-25 -69
-25 -80
-26 -4
-26 -8
-26 -15
-26 -17
-26 -35
-26 -37
-26 -44
-26 -48
-26 -53
-26 -59
-26 -62
-26 -70
-26 -71
-27 -5
-27 -9
-27 -16
-27 -18
-27 -36
-27 -38
-27 -45
-27 -49
-27 -54
-27 -60
-27 -63
-27 -72
-27 -81
-28 -6
-28 -10
-28 -17
-28 -19
-28 -37
-28 -39
-28 -46
-28 -50
-28 -55
-28 -64
-28 -73
-28 -82
-28 -91
-29 -7
-29 -18
-29 -20
-29 -38
-29 -40
-29 -47
-29 -56
-29 -65
-29 -74
-29 -83
-29 -92
-30 -8
-30 -19
-30 -39
-30 -48
-30 -57
-30 -66
-30 -75
-30 -84
-30 -93
-31 -4
-31 -13
-31 -22
-31 -42
-31 -53
-31 -64
-31 -75
-31 -86
-31 -97
-32 -5
-32 -14
-32 -21
-32 -23
-32 -41
-32 -43
-32 -54
-32 -65
-32 -76
-32 -87
-32 -98
-33 -6
-33 -11
-33 -15
-33 -22
-33 -24
-33 -42
-33 -44
-33 -51
-33 -55
-33 -66
-33 -77
-33 -88
-33 -99
-34 -1
-34 -7
-34 -12
-34 -16
-34 -23
-34 -25
-34 -43
-34 -45
-34 -52
-34 -56
-34 -61
-34 -67
-34 -78
-34 -89
-34 -100
-35 -2
-35 -8
-35 -13
-35 -17
-35 -24
-35 -26
-35 -44
-35 -46
-35 -53
-35 -57
-35 -62
-35 -68
-35 -71
-35 -79
-35 -90
-36 -3
-36 -9
-36 -14
-36 -18
-36 -25
-36 -27
-36 -45
-36 -47
-36 -54
-36 -58
-36 -63
-36 -69
-36 -72
-36 -80
-36 -81
-37 -4
-37 -10
-37 -15
